Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,8.0,13.0,6.0,True
3,3.0,10.0,8.0,True
4,9.0,5.0,15.0,True
5,10.0,9.0,11.0,True
6,15.0,14.0,5.0,True
7,1.0,9.0,8.0,True
8,6.0,15.0,14.0,True
9,6.0,9.0,4.0,True
10,6.0,11.0,14.0,True
11,4.0,10.0,5.0,True
12,10.0,11.0,13.0,True
