day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,4,44.44444444444444,148.03742857932752
2,9,3,33.33333333333333,260.8509718858617
3,9,1,11.11111111111111,6.496490108487563
4,9,3,33.33333333333333,154.07997573548403
5,10,4,40.0,135.32320047420953
6,10,0,0.0,0.0
7,10,3,30.0,73.28138488718149
8,10,4,40.0,281.75776832706936
9,10,5,50.0,113.13315084980768
10,10,5,50.0,199.62849159178796
11,10,5,50.0,244.6304712206799
12,10,3,30.0,86.310129434557
13,10,2,20.0,56.97497903013073
14,10,5,50.0,181.11137720574462
15,10,2,20.0,264.57513667442265
