phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,8,0.06962267716990019,1.7566408097331185,طبيعي,High
future_forecast,2,9,0.040311118265270195,1.6410795128388094,طبيعي,Medium
future_forecast,3,10,0.04464763860704899,0.8173501157111018,طبيعي,Medium
future_forecast,4,11,0.04988200688059135,1.1746088027417885,طبيعي,Medium
future_forecast,5,12,0.03701703397601124,1.3072952685492878,طبيعي,Medium
future_forecast,6,13,0.022785915918669467,0.7216531342882568,طبيعي,Low
future_forecast,7,14,0.04119442403063057,0.34522796982526277,طبيعي,Low
future_forecast,8,15,0.03387823354540141,0.4452124686384669,طبيعي,Low
future_forecast,9,1,0.025004813994504656,1.0531940775753965,طبيعي,Low
future_forecast,10,2,0.03014389041813189,0.507557680406543,طبيعي,Low
