day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,145.00726015394002
2,10,5,50.0,79.95390544153821
3,10,5,50.0,38.515194216515944
4,10,2,20.0,93.27007255669345
5,11,5,45.45454545454545,44.878751801799936
6,11,5,45.45454545454545,25.31746412824603
7,11,5,45.45454545454545,68.76332900482757
8,11,5,45.45454545454545,21.79519844728534
9,11,5,45.45454545454545,130.53696575234002
10,11,5,45.45454545454545,55.188894192806096
11,11,3,27.27272727272727,35.87056269941963
12,11,3,27.27272727272727,21.62973547042613
13,11,5,45.45454545454545,99.27828503759346
14,11,5,45.45454545454545,42.4150131347513
15,11,3,27.27272727272727,68.31555268528892
