day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,192.57504074794974
2,10,1,10.0,296.442620147084
3,10,0,0.0,0.0
4,10,2,20.0,38.19909266696415
5,11,4,36.36363636363637,159.17753294200855
6,11,4,36.36363636363637,133.05632841761732
7,11,3,27.27272727272727,182.11837698089153
8,11,4,36.36363636363637,296.4810817457076
9,11,2,18.181818181818183,78.49426572062458
10,11,2,18.181818181818183,170.81375948270062
11,11,4,36.36363636363637,209.1577917592378
12,11,3,27.27272727272727,40.67320936517371
13,11,3,27.27272727272727,459.9777227410734
14,11,5,45.45454545454545,141.3048618065807
15,11,3,27.27272727272727,205.36340264975266
