day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,119.85889384152941
2,10,3,30.0,206.5196461073805
3,10,7,70.0,101.60112823382954
4,10,2,20.0,280.845125643719
5,11,1,9.090909090909092,238.01961055102888
6,11,3,27.27272727272727,194.79410405190492
7,11,1,9.090909090909092,45.194121735676696
8,11,2,18.181818181818183,67.28133019418189
9,11,2,18.181818181818183,336.1898016919433
10,11,4,36.36363636363637,99.36804543890389
11,11,3,27.27272727272727,126.08411131532847
12,11,5,45.45454545454545,102.1657534284048
13,11,6,54.54545454545454,178.75504143512657
14,11,5,45.45454545454545,89.40075993419468
15,11,3,27.27272727272727,111.794732177363
