phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,7,0.08867698643759639,1.3934051428049177,طبيعي,High
future_forecast,2,8,0.10978421569923408,1.1385385768808194,طبيعي,Medium
future_forecast,3,9,0.16349236973770115,1.0469033674994568,طبيعي,Medium
future_forecast,4,10,0.13910449030764474,0.6866487073397042,طبيعي,Medium
future_forecast,5,11,0.14836286389462158,1.039910676383356,طبيعي,Medium
future_forecast,6,12,0.1601944350370876,1.3811954293657818,طبيعي,Low
future_forecast,7,13,0.1980025916014762,0.8560853116921653,طبيعي,Low
future_forecast,8,14,0.167665974623865,1.0773877447442775,طبيعي,Low
future_forecast,9,15,0.21403335500589463,0.5858997629934941,طبيعي,Low
future_forecast,10,1,0.2844714149616093,0.90305496797473,طبيعي,Low
