day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,2,20.0,201.15572006479027
2,10,2,20.0,440.76911743943583
3,10,1,10.0,143.22103533278553
4,10,2,20.0,417.2828708047956
5,11,3,27.27272727272727,190.5092721945347
6,11,1,9.090909090909092,928.163054210353
7,11,3,27.27272727272727,287.0105616401948
8,11,1,9.090909090909092,600.8790686623901
9,11,1,9.090909090909092,1062.9906437020595
10,11,3,27.27272727272727,416.04341592303575
11,11,3,27.27272727272727,143.60328864475483
12,11,1,9.090909090909092,87.4202727897164
13,11,5,45.45454545454545,364.13266868421374
14,11,3,27.27272727272727,401.22351423800563
15,11,4,36.36363636363637,36.727171714561415
