day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,68.25241801856903
2,10,6,60.0,171.7084124384411
3,10,5,50.0,53.237765178969326
4,10,5,50.0,74.56615862905413
5,11,3,27.27272727272727,54.52747591324003
6,11,4,36.36363636363637,101.98035078960268
7,11,7,63.63636363636363,44.08028517869389
8,11,3,27.27272727272727,80.26302039120252
9,11,6,54.54545454545454,58.741144804322545
10,11,3,27.27272727272727,64.86496085826717
11,11,5,45.45454545454545,17.717284903486455
12,11,4,36.36363636363637,42.409368160049276
13,11,4,36.36363636363637,191.774740366142
14,11,4,36.36363636363637,55.46001472484609
15,11,3,27.27272727272727,16.437965882263384
