Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,9.0,10.0,7.0,True
3,15.0,7.0,6.0,True
4,1.0,15.0,2.0,True
5,3.0,6.0,9.0,True
6,2.0,12.0,1.0,True
7,10.0,7.0,3.0,True
8,3.0,14.0,12.0,True
9,6.0,12.0,11.0,True
10,10.0,15.0,12.0,True
11,8.0,15.0,1.0,True
12,5.0,11.0,7.0,True
13,2.0,5.0,1.0,True
