day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,174.07351394674893
2,10,2,20.0,174.61371280136785
3,10,1,10.0,116.87142359045883
4,10,3,30.0,182.93518965696376
5,11,5,45.45454545454545,58.99200410587173
6,11,6,54.54545454545454,122.73551369220513
7,11,4,36.36363636363637,28.67921948652004
8,11,4,36.36363636363637,250.39818467302484
9,11,4,36.36363636363637,148.782971957365
10,11,3,27.27272727272727,23.303416554659417
11,11,3,27.27272727272727,103.93566188942293
12,11,3,27.27272727272727,5.120861437941445
13,11,1,9.090909090909092,10.119869148230155
14,11,3,27.27272727272727,30.583107166915056
15,11,2,18.181818181818183,70.77235196255577
