day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,125.44575123320362
2,10,4,40.0,127.56213279063343
3,10,5,50.0,38.19698353060918
4,10,5,50.0,31.887696997919626
5,11,2,18.181818181818183,110.6720067465462
6,11,5,45.45454545454545,64.99922239584313
7,11,5,45.45454545454545,100.69960438042158
8,11,3,27.27272727272727,82.23522806759716
9,11,3,27.27272727272727,69.15946726420398
10,11,2,18.181818181818183,37.90840563710703
11,11,2,18.181818181818183,47.479853320307214
12,11,4,36.36363636363637,56.79774617646254
13,11,6,54.54545454545454,164.61464089577748
14,11,4,36.36363636363637,83.45138841526231
15,11,3,27.27272727272727,18.306371650918006
