Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,10.0,12.0,14.0,True
3,11.0,1.0,10.0,True
4,10.0,8.0,9.0,True
5,4.0,1.0,10.0,True
6,9.0,11.0,10.0,True
7,1.0,3.0,2.0,True
8,11.0,9.0,10.0,True
9,13.0,9.0,1.0,True
10,1.0,13.0,8.0,True
11,6.0,3.0,11.0,True
12,1.0,3.0,13.0,True
13,4.0,3.0,2.0,True
