day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,1,10.0,201.5876189214787
2,10,2,20.0,12.055153741172152
3,10,2,20.0,51.10742416206469
4,10,5,50.0,142.3803140024205
5,11,6,54.54545454545454,157.18518935666668
6,11,6,54.54545454545454,74.79936786117908
7,11,5,45.45454545454545,52.91499404450527
8,11,4,36.36363636363637,95.78696888571469
9,11,3,27.27272727272727,92.14982297261953
10,11,2,18.181818181818183,26.499064585007726
11,11,3,27.27272727272727,66.74487362475732
12,11,4,36.36363636363637,38.132561031039046
13,11,4,36.36363636363637,42.992073503079155
14,11,2,18.181818181818183,264.89806432228164
15,11,4,36.36363636363637,41.43633804102314
