day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,7,70.0,41.15796379910089
2,10,3,30.0,46.455725902722314
3,10,4,40.0,11.315566683424235
4,10,2,20.0,17.72989124736456
5,11,1,9.090909090909092,29.838425811070213
6,11,2,18.181818181818183,28.97535394292696
7,11,4,36.36363636363637,37.70042046560456
8,11,5,45.45454545454545,79.59425410879784
9,11,3,27.27272727272727,170.93603465587694
10,11,2,18.181818181818183,85.31850040073118
11,11,4,36.36363636363637,91.70572052647665
12,11,5,45.45454545454545,37.72133609964195
13,11,5,45.45454545454545,140.68011405214133
14,11,5,45.45454545454545,91.82960672948663
15,11,3,27.27272727272727,13.04127739173988
