day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,11,4,36.36363636363637,27.21002668124735
2,11,0,0.0,0.0
3,11,5,45.45454545454545,53.80522105288945
4,11,7,63.63636363636363,16.287679700008997
5,12,1,8.333333333333332,67.02300605276967
6,12,5,41.66666666666667,73.02814436602381
7,12,5,41.66666666666667,155.03917100689964
8,12,6,50.0,73.84807483191618
9,12,5,41.66666666666667,129.55913697151348
10,12,5,41.66666666666667,51.41440668269513
11,12,6,50.0,193.6357475361311
12,12,4,33.33333333333333,133.41391336412127
13,12,4,33.33333333333333,22.998505204043624
14,12,4,33.33333333333333,130.6348591529702
15,12,5,41.66666666666667,35.63840211971643
