Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,5.0,15.0,10.0,True
3,1.0,7.0,4.0,True
4,2.0,14.0,13.0,True
5,8.0,4.0,9.0,True
6,14.0,6.0,10.0,True
7,12.0,1.0,5.0,True
8,1.0,3.0,10.0,True
9,10.0,14.0,4.0,True
10,9.0,10.0,12.0,True
11,9.0,10.0,1.0,True
12,4.0,8.0,5.0,True
13,9.0,5.0,8.0,True
14,9.0,5.0,1.0,True
