Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,13.0,11.0,12.0,True
3,9.0,2.0,10.0,True
4,10.0,3.0,13.0,True
5,1.0,6.0,2.0,True
6,5.0,1.0,15.0,True
7,12.0,5.0,3.0,True
8,4.0,14.0,5.0,True
9,8.0,3.0,4.0,True
10,3.0,13.0,11.0,True
11,2.0,1.0,3.0,True
12,4.0,1.0,6.0,True
