day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,292.5961047492723
2,10,4,40.0,92.15700849604244
3,10,3,30.0,25.61886949547765
4,10,4,40.0,80.72230438452611
5,11,3,27.27272727272727,45.95499188486976
6,11,7,63.63636363636363,64.81784583220244
7,11,5,45.45454545454545,64.94124971529672
8,11,6,54.54545454545454,71.58925705311061
9,11,6,54.54545454545454,53.26205811850691
10,11,3,27.27272727272727,32.37745147821651
11,11,4,36.36363636363637,47.10088068047165
12,11,3,27.27272727272727,163.3541519367379
13,11,2,18.181818181818183,28.672811377303365
14,11,3,27.27272727272727,95.02301890409036
15,11,2,18.181818181818183,14.035754406788183
