phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,3,0.08402948644481892,0.664371410068355,طبيعي,High
future_forecast,2,4,0.08192807670188104,0.6934623664807449,طبيعي,Medium
future_forecast,3,5,0.07240641269108873,0.423773553785967,طبيعي,Medium
future_forecast,4,6,0.07993428333639646,0.7495590727491499,طبيعي,Medium
future_forecast,5,7,0.09065070188890766,1.3869213910285516,طبيعي,Medium
future_forecast,6,8,0.08860606653952754,1.4376174983257828,طبيعي,Low
future_forecast,7,9,0.08166038957413178,1.9300586843197869,طبيعي,Low
future_forecast,8,10,0.06277456713770282,1.2827545938255505,طبيعي,Low
future_forecast,9,11,0.047746742505885086,0.7386872574226339,طبيعي,Low
future_forecast,10,12,0.044193638102315316,0.9858660269577583,طبيعي,Low
