day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,30.381506487371144
2,10,0,0.0,0.0
3,10,3,30.0,56.93641718787715
4,10,2,20.0,60.101319784956516
5,11,4,36.36363636363637,129.1277659626168
6,11,4,36.36363636363637,169.9010646025594
7,11,5,45.45454545454545,16.36222990810819
8,11,5,45.45454545454545,18.290362663835158
9,11,3,27.27272727272727,26.28682255348592
10,11,2,18.181818181818183,83.06685089461278
11,11,4,36.36363636363637,44.06208023636555
12,11,4,36.36363636363637,73.6343705651251
13,11,5,45.45454545454545,102.89646738078208
14,11,6,54.54545454545454,149.1335285870065
15,11,3,27.27272727272727,95.86990401813347
