phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,6,0.11715294831455429,0.7605902947481443,طبيعي,High
future_forecast,2,7,0.0820348042373946,0.882669688388065,طبيعي,Medium
future_forecast,3,8,0.07474849048539361,0.9327372764507064,طبيعي,Medium
future_forecast,4,9,0.12819336217823132,0.811366545339828,طبيعي,Medium
future_forecast,5,10,0.08353890364979238,1.209615528260347,طبيعي,Medium
future_forecast,6,11,0.08181183237402405,1.126252630295497,طبيعي,Low
future_forecast,7,12,0.2145126390879902,0.9413360531619215,طبيعي,Low
future_forecast,8,13,0.14266824170876283,0.6773203021611854,طبيعي,Low
future_forecast,9,14,0.2158489057882403,0.6555710442151873,طبيعي,Low
future_forecast,10,15,0.2316916353424764,0.9706187094939566,طبيعي,Low
