Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,13.0,8.0,14.0,True
3,14.0,1.0,10.0,True
4,8.0,7.0,3.0,True
5,9.0,11.0,10.0,True
6,1.0,9.0,6.0,True
7,5.0,11.0,13.0,True
8,11.0,5.0,12.0,True
9,14.0,3.0,15.0,True
10,1.0,15.0,14.0,True
11,7.0,14.0,12.0,True
12,10.0,8.0,9.0,True
13,2.0,6.0,7.0,True
