phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,9,0.08803690159489623,2.0910473003373244,طبيعي,High
future_forecast,2,10,0.13531126183301573,1.4575831661091032,طبيعي,Medium
future_forecast,3,11,0.1776885300912858,1.1067286217852634,طبيعي,Medium
future_forecast,4,12,0.17573928606927564,0.8431795863547513,طبيعي,Medium
future_forecast,5,13,0.166811934925651,0.8002226895989927,طبيعي,Medium
future_forecast,6,14,0.20013015812062268,0.6468410690361532,طبيعي,Low
future_forecast,7,15,0.1836385512748802,0.6830205184193243,طبيعي,Low
future_forecast,8,1,0.10152731861415781,1.2286812043089093,طبيعي,Low
future_forecast,9,2,0.09084947992711001,1.3659480850792747,طبيعي,Low
future_forecast,10,3,0.08286078110746166,1.3690934792866856,طبيعي,Low
