Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,14.0,13.0,15.0,True
3,14.0,15.0,3.0,True
4,3.0,10.0,11.0,True
5,8.0,14.0,12.0,True
6,4.0,2.0,3.0,True
7,4.0,14.0,12.0,True
8,13.0,15.0,11.0,True
9,4.0,2.0,7.0,True
10,2.0,4.0,6.0,True
11,15.0,3.0,1.0,True
12,7.0,2.0,8.0,True
13,,,,False
