Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,6.0,10.0,11.0,True
3,11.0,8.0,12.0,True
4,4.0,11.0,6.0,True
5,9.0,6.0,8.0,True
6,15.0,3.0,2.0,True
7,1.0,3.0,2.0,True
8,8.0,12.0,7.0,True
9,6.0,7.0,1.0,True
10,4.0,3.0,5.0,True
11,12.0,1.0,15.0,True
12,7.0,10.0,11.0,True
13,,,,False
