day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,6,60.0,57.17461009006937
2,10,3,30.0,81.51732856941184
3,10,3,30.0,69.57793611238066
4,10,3,30.0,129.0853240974414
5,11,3,27.27272727272727,57.899322869551575
6,11,2,18.181818181818183,61.19570617780494
7,11,4,36.36363636363637,18.851139535348437
8,11,3,27.27272727272727,84.33597733810741
9,11,5,45.45454545454545,134.93943173180168
10,11,6,54.54545454545454,76.80736378909317
11,11,4,36.36363636363637,45.4942274016956
12,11,5,45.45454545454545,102.84471339531777
13,11,3,27.27272727272727,184.1363185966852
14,11,4,36.36363636363637,64.67397546146331
15,11,2,18.181818181818183,60.14296976444119
