Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,7.0,10.0,8.0,True
3,7.0,8.0,14.0,True
4,13.0,1.0,12.0,True
5,1.0,13.0,5.0,True
6,10.0,13.0,12.0,True
7,5.0,9.0,3.0,True
8,9.0,11.0,4.0,True
9,2.0,12.0,4.0,True
10,11.0,13.0,9.0,True
11,1.0,8.0,6.0,True
12,11.0,9.0,13.0,True
13,,,,False
