day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,106.57841706525464
2,10,3,30.0,151.4288959353004
3,10,5,50.0,73.02420427674879
4,10,6,60.0,147.2798741501156
5,11,1,9.090909090909092,5.425612333783425
6,11,4,36.36363636363637,109.94649177377471
7,11,7,63.63636363636363,61.20524118721796
8,11,3,27.27272727272727,157.6274635114927
9,11,7,63.63636363636363,14.145816134290799
10,11,3,27.27272727272727,108.10119043731771
11,11,3,27.27272727272727,79.34428001776298
12,11,6,54.54545454545454,32.75149515567256
13,11,5,45.45454545454545,23.17039444519146
14,11,2,18.181818181818183,58.973976929550986
15,11,4,36.36363636363637,165.12181461988024
