day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,92.53115748907305
2,10,4,40.0,24.165000144682637
3,10,5,50.0,91.91302862586109
4,10,3,30.0,67.78860868822285
5,11,1,9.090909090909092,45.5292093822377
6,11,4,36.36363636363637,9.528015515868976
7,11,2,18.181818181818183,32.24855409163252
8,11,4,36.36363636363637,71.82515123816754
9,11,3,27.27272727272727,87.25229786429647
10,11,4,36.36363636363637,145.07158041234842
11,11,7,63.63636363636363,85.99880895554345
12,11,5,45.45454545454545,90.4439039543062
13,11,5,45.45454545454545,47.988787808442154
14,11,2,18.181818181818183,115.33334419763202
15,11,2,18.181818181818183,64.56664371828069
