day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,3,33.33333333333333,72.4735315295432
2,9,3,33.33333333333333,60.42318637558254
3,9,2,22.22222222222222,56.90660660713599
4,9,3,33.33333333333333,145.1911455794523
5,10,1,10.0,5.140535858299233
6,10,4,40.0,55.88439357137706
7,10,4,40.0,220.67154722657543
8,10,5,50.0,185.7594257046247
9,10,4,40.0,184.6481772147522
10,10,4,40.0,130.61807910462818
11,10,3,30.0,190.69833908085343
12,10,5,50.0,119.72233527298371
13,10,5,50.0,106.0941159030189
14,10,5,50.0,76.665946905053
15,10,3,30.0,304.24692163647916
