day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,45.17919921338483
2,10,5,50.0,41.811039269588605
3,10,2,20.0,92.36855742666631
4,10,3,30.0,128.79535692323387
5,11,2,18.181818181818183,21.168055496534908
6,11,2,18.181818181818183,95.53040873275519
7,11,4,36.36363636363637,31.990589923428026
8,11,3,27.27272727272727,60.50444493865632
9,11,4,36.36363636363637,38.779231926535175
10,11,3,27.27272727272727,72.19448638788442
11,11,6,54.54545454545454,104.58493543001997
12,11,4,36.36363636363637,36.460184528257166
13,11,5,45.45454545454545,105.66090463041307
14,11,4,36.36363636363637,42.741138530261956
15,11,5,45.45454545454545,44.63887636099703
