Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,15.0,11.0,5.0,True
3,7.0,6.0,9.0,True
4,4.0,10.0,12.0,True
5,9.0,15.0,11.0,True
6,15.0,8.0,1.0,True
7,1.0,6.0,10.0,True
8,11.0,3.0,12.0,True
9,4.0,10.0,11.0,True
10,4.0,14.0,13.0,True
11,6.0,9.0,8.0,True
12,,,,False
