phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,7,0.3515628625906033,0.9904924607624247,طبيعي,High
future_forecast,2,8,0.19245305156299541,0.8616545541824877,طبيعي,Medium
future_forecast,3,9,0.3568100105438681,0.8468664191259571,طبيعي,Medium
future_forecast,4,10,0.22176344174511,0.9442052931209245,طبيعي,Medium
future_forecast,5,11,0.1762531949711448,1.2953947179150087,طبيعي,Medium
future_forecast,6,12,0.12004303041987834,1.1129558985802437,طبيعي,Low
future_forecast,7,13,0.10970252377383677,1.2125469520862062,طبيعي,Low
future_forecast,8,14,0.11658743851822526,1.112791994004882,طبيعي,Low
future_forecast,9,15,0.3678859404290989,0.9284645193697901,طبيعي,Low
future_forecast,10,1,0.08929975087751992,1.377121024771647,طبيعي,Low
