day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,1,10.0,65.18127376756384
2,10,3,30.0,141.90100917918576
3,10,1,10.0,211.62953775626363
4,10,3,30.0,94.89853214359323
5,11,6,54.54545454545454,62.62506154994412
6,11,4,36.36363636363637,95.13404373032142
7,11,2,18.181818181818183,12.15955974902444
8,11,6,54.54545454545454,69.6276870332341
9,11,1,9.090909090909092,69.79263337674593
10,11,5,45.45454545454545,172.0349303912755
11,11,5,45.45454545454545,52.4479916421732
12,11,5,45.45454545454545,161.58071918128084
13,11,5,45.45454545454545,76.48234982182555
14,11,5,45.45454545454545,124.76296587911854
15,11,2,18.181818181818183,90.3596668943438
