Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,11.0,6.0,9.0,True
3,4.0,5.0,12.0,True
4,6.0,4.0,1.0,True
5,1.0,9.0,7.0,True
6,15.0,3.0,12.0,True
7,6.0,4.0,7.0,True
8,12.0,13.0,14.0,True
9,2.0,7.0,12.0,True
10,13.0,12.0,14.0,True
11,7.0,8.0,2.0,True
12,12.0,3.0,1.0,True
13,4.0,5.0,1.0,True
