day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,5,55.55555555555556,49.050860353141594
2,9,5,55.55555555555556,95.64456910164428
3,9,3,33.33333333333333,127.16843212306242
4,9,2,22.22222222222222,228.35476237824577
5,10,4,40.0,107.43463847046665
6,10,4,40.0,198.37188985876986
7,10,3,30.0,29.59718176393646
8,10,5,50.0,102.76148132771297
9,10,4,40.0,172.1134774480817
10,10,3,30.0,118.76585920094682
11,10,3,30.0,69.96170863539815
12,10,3,30.0,116.69993171803647
13,10,5,50.0,82.64648629110182
14,10,4,40.0,65.09885144594273
15,10,4,40.0,73.61957365760952
