phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,4,0.10387679977871925,1.8812479306416159,طبيعي,High
future_forecast,2,5,0.0883241882929656,2.444321326077164,طبيعي,Medium
future_forecast,3,6,0.0628158991221394,1.8741225401851505,طبيعي,Medium
future_forecast,4,7,0.054613287604860096,0.9458026780677385,طبيعي,Medium
future_forecast,5,8,0.025875596062092863,1.7493000930886375,طبيعي,Medium
future_forecast,6,9,0.021641956539113008,0.5174286454043113,طبيعي,Low
future_forecast,7,10,0.01572506233359159,0.29355829104183484,طبيعي,Low
future_forecast,8,11,0.010276125274756664,0.6412587581954603,طبيعي,Low
future_forecast,9,12,0.00961789612398937,0.6287490001178271,طبيعي,Low
future_forecast,10,13,0.007412094459272503,2.245763413617521,طبيعي,Low
