phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,9,0.09814331877192024,1.1886140908820129,طبيعي,High
future_forecast,2,10,0.09752695521196644,1.055944333557385,طبيعي,Medium
future_forecast,3,11,0.12979127832688625,1.0520776635795699,طبيعي,Medium
future_forecast,4,12,0.10320009667566443,1.136248877166128,طبيعي,Medium
future_forecast,5,13,0.11717463471518196,0.9802524412096395,طبيعي,Medium
future_forecast,6,14,0.1252529202695991,0.9326540437186271,طبيعي,Low
future_forecast,7,15,0.08239448492166414,0.9234602704372922,طبيعي,Low
future_forecast,8,1,0.10349374196108756,0.9202684152068453,طبيعي,Low
future_forecast,9,2,0.04433785595909542,1.2701553949912545,طبيعي,Low
future_forecast,10,3,0.05569343524707422,0.9734968137824072,طبيعي,Low
