phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,9,0.049831314949508765,0.8984175880365025,طبيعي,High
future_forecast,2,10,0.05732934329000121,0.8612305831248244,طبيعي,Medium
future_forecast,3,11,0.07041636066125989,0.9449354563487368,طبيعي,Medium
future_forecast,4,12,0.09393984418052649,1.3714236306556589,طبيعي,Medium
future_forecast,5,13,0.17188184406968673,1.1002699277393164,طبيعي,Medium
future_forecast,6,14,0.16550081984462275,0.7617264125660921,طبيعي,Low
future_forecast,7,15,0.24876113209968947,0.7898206572045428,طبيعي,Low
future_forecast,8,1,0.30262478650482016,0.935151683829687,طبيعي,Low
future_forecast,9,2,0.20106533737849147,1.2950617778885052,طبيعي,Low
future_forecast,10,3,0.23491135694922954,1.612421693141205,طبيعي,Low
