Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,14.0,9.0,6.0,True
3,5.0,7.0,10.0,True
4,9.0,5.0,15.0,True
5,8.0,7.0,4.0,True
6,10.0,9.0,1.0,True
7,6.0,4.0,13.0,True
8,12.0,14.0,15.0,True
9,2.0,8.0,10.0,True
10,14.0,12.0,7.0,True
11,12.0,13.0,11.0,True
12,2.0,6.0,1.0,True
