Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,7.0,5.0,6.0,True
3,13.0,4.0,15.0,True
4,1.0,2.0,7.0,True
5,13.0,8.0,4.0,True
6,3.0,2.0,1.0,True
7,9.0,12.0,14.0,True
8,1.0,2.0,6.0,True
9,13.0,14.0,3.0,True
10,14.0,1.0,11.0,True
11,8.0,1.0,7.0,True
12,13.0,12.0,6.0,True
13,3.0,2.0,4.0,True
