DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,1.2561889324005548,0.826699934862051,3,23.076923076923077,2,15.384615384615385,2,15.384615384615385
2,11,1.2344564822005148,0.9808273558227935,5,38.46153846153847,5,38.46153846153847,2,15.384615384615385
3,11,0.8030568113377551,0.7129455444007773,3,23.076923076923077,3,23.076923076923077,0,0.0
4,11,1.4368607141025598,0.6898725991075471,4,30.76923076923077,3,23.076923076923077,2,15.384615384615385
5,12,0.6817316662610691,0.322353539825182,2,15.384615384615385,2,15.384615384615385,1,7.6923076923076925
6,11,0.8904660595228235,0.37347472491752276,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
7,11,1.1589803876199796,0.6629672559794517,4,33.33333333333333,4,33.33333333333333,1,8.333333333333332
8,11,0.6470475203558622,0.34642219311822836,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
9,11,1.2873155484627614,0.675982051949897,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
10,11,0.5705843653468661,0.41680019721434736,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
11,11,0.8557774998197256,0.42217877127775133,3,25.0,2,16.666666666666664,2,16.666666666666664
12,11,0.7173273049111886,0.3162272146018533,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
13,11,0.9430636506817455,0.9548131181493476,4,33.33333333333333,3,25.0,0,0.0
14,11,0.9070349394129843,0.3976635273531985,3,25.0,3,25.0,2,16.666666666666664
15,11,1.1636107580885655,0.3926895341294975,3,25.0,2,16.666666666666664,2,16.666666666666664
