phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,1,0.13981976478230168,1.1059184378632343,طبيعي,High
future_forecast,2,2,0.1815026374539884,1.0663290392482836,طبيعي,Medium
future_forecast,3,3,0.24757093626969656,0.9101651307606199,طبيعي,Medium
future_forecast,4,4,0.3753207247932354,0.4136211741970033,طبيعي,Medium
future_forecast,5,5,0.46575188807775586,0.2538508866596335,طبيعي,Medium
future_forecast,6,6,0.3445703541340253,1.6354075832139696,طبيعي,Low
future_forecast,7,7,0.5139182152539832,0.6826397068014788,مرتفع,Low
future_forecast,8,8,0.4809904820436751,1.1101059926198473,طبيعي,Low
future_forecast,9,9,0.5099110035126929,0.9490483720746061,مرتفع,Low
future_forecast,10,10,0.40637409198302765,1.8031591264069404,طبيعي,Low
