date,open,high,low,close,volume,clv,close_strength,volume_ma7,volume_ma14,volume_ma28,relative_volume7,relative_volume28,volume_zscore28,daily_return,normalized_move,abs_normalized_move,liquidity_pressure,close_volume_strength,smart_money_pressure,next_day_return_pct,next_3day_return_pct,next_5day_return_pct,strong_bullish_liquidity_day,strong_bearish_liquidity_day
2026-06-10,2.38,2.38,2.34,2.35,928973.0,0.25000000000000555,-0.4999999999999889,,,,,,0.0,,,,,,,0.0,0.4255319148936079,0.0,False,False
2026-06-11,2.36,2.37,2.34,2.35,1244918.0,0.33333333333333826,-0.3333333333333235,,,,,,0.0,0.0,0.0,0.0,,,-0.1333333333333294,0.0,-0.42553191489362685,0.0,False,False
2026-06-14,2.36,2.38,2.34,2.35,739052.0,0.25000000000000555,-0.4999999999999889,,,,,,0.0,0.0,0.0,0.0,,,-0.19999999999999557,0.4255319148936079,0.0,-0.42553191489362685,False,False
2026-06-15,2.35,2.37,2.34,2.36,775676.0,0.6666666666666617,0.3333333333333235,,,,,,0.0,0.004255319148936065,0.04255319148936065,0.04255319148936065,,,0.1460992907801376,-0.8474576271186449,-0.423728813559313,-0.8474576271186449,False,False
2026-06-16,2.36,2.37,2.34,2.34,984849.0,0.0,-1.0,,,,,,0.0,-0.008474576271186418,-0.08474576271186418,0.08474576271186418,,,-0.4254237288135593,0.42735042735043727,0.0,0.0,False,False
2026-06-17,2.36,2.41,2.34,2.35,4746151.0,0.14285714285714557,-0.7142857142857089,,,,,,0.0,0.00427350427350448,0.042735042735044804,0.042735042735044804,,,-0.2728937728937701,0.0,-0.42553191489362685,-0.42553191489362685,False,False
2026-06-18,2.36,2.39,2.34,2.35,2057589.0,0.20000000000000356,-0.5999999999999929,1639601.142857143,,,1.2549326456399499,,0.0,0.0,0.0,0.0,0.0,-0.752959587383961,-0.23999999999999716,-0.42553191489362685,-0.42553191489362685,0.0,False,False
2026-06-21,2.35,2.37,2.34,2.34,979899.0,0.0,-1.0,1646876.2857142857,,,0.5950046208692578,,0.0,-0.004255319148936287,-0.042553191489362874,0.042553191489362874,-0.025319345568905284,-0.5950046208692578,-0.4127659574468089,0.0,0.0,0.0,False,False
2026-06-22,2.36,2.39,2.33,2.34,2657368.0,0.16666666666666297,-0.6666666666666741,1848654.857142857,,,1.4374603186378607,,0.0,0.0,0.0,0.0,0.0,-0.9583068790919178,-0.26666666666666966,0.0,0.42735042735043727,1.2820512820512928,False,False
2026-06-23,2.35,2.36,2.33,2.34,1705831.0,0.3333333333333284,-0.33333333333334325,1986766.142857143,,,0.8585967735220544,,0.0,0.0,0.0,0.0,0.0,-0.28619892450736,-0.1333333333333373,0.0,0.0,2.991452991453004,False,False
