symbol,name,market,status,last_updated
4003,United Electronics Co.,TASI,active,2026-09-23
4004,Dallah Healthcare Co.,TASI,active,2026-09-23
4005,National Medical Care Co.,TASI,active,2026-09-23
4006,Saudi Marketing Co.,TASI,active,2026-09-23
4007,Al Hammadi Holding,TASI,active,2026-09-23
4008,Saudi Co. for Hardware,TASI,active,2026-09-23
4009,Middle East Healthcare Company,TASI,active,2026-09-23
4011,Lazurde Company for Jewelry,TASI,active,2026-09-23
4012,Thob Al-Aseel Co.,TASI,active,2026-09-23
4013,Dr. Sulaiman Al-Habib Medical Services Group Co.,TASI,active,2026-09-23
4014,Scientific and Medical Equipment House,TASI,active,2026-09-23
4015,Jamjoom Pharmaceuticals Factory Co.,TASI,active,2026-09-23
4016,Middle East Pharmaceutical Industries Company,TASI,active,2026-09-23
4017,Dr. Soliman Abdul Kader Fakeeh Hospital Co.,TASI,active,2026-09-23
4018,Almoosa Health Co.,TASI,active,2026-09-23
4019,Specialized Medical Company,TASI,active,2026-09-23
4020,Saudi Real Estate Co.,TASI,active,2026-09-23
4021,Canadian Medical Center Co.,TASI,active,2026-09-23
4030,National Shipping Co. of Saudi Arabia,TASI,active,2026-09-23
4031,الخدمات الارضيه,TASI,active,2026-09-23
4040,النقل الجماعي,TASI,active,2026-09-23
4050,Saudi Automotive Services Co.,TASI,active,2026-09-23
4051,Baazeem Trading Co.,TASI,active,2026-09-23
4061,Anaam International Holding Group,TASI,active,2026-09-23
4070,Tihama Advertising & Public Relations Co.,TASI,active,2026-09-23
4071,Arabian Contracting Services Co.,TASI,active,2026-09-23
4072,MBC Group Company,TASI,active,2026-09-23
4080,Sinad Holding Company,TASI,active,2026-09-23
4081,Nayifat Finance Company,TASI,active,2026-09-23
4082,Morabaha Marina Financing Company,TASI,active,2026-09-23
4083,United International Holding Co.,TASI,active,2026-09-23
4084,Derayah Financial Company,TASI,active,2026-09-23
4090,Taiba Investment Company,TASI,active,2026-09-23
4100,Makkah Construction & Development Co.,TASI,active,2026-09-23
4110,Batic Investments and Logistics Co.,TASI,active,2026-09-23
4130,درب السعوديه,TASI,active,2026-09-23
4140,صادرات,TASI,active,2026-09-23
4141,Al-Omran Industrial & Trading Co.,TASI,active,2026-09-23
4142,Riyadh Cables Group Co.,TASI,active,2026-09-23
4143,Al Taiseer Group Talco Industrial Co.,TASI,active,2026-09-23
4144,Raoom trading Company,TASI,active,2026-09-23
4145,Obeikan Glass Co,TASI,active,2026-09-23
4146,Gas Arabian Services Co,TASI,active,2026-09-23
4147,سي جي اس,TASI,active,2026-09-23
4148,Alwasail Industrial Company,TASI,active,2026-09-23
4150,Arriyadh Development Co.,TASI,active,2026-09-23
4160,THIMAR Development Holding Co.,TASI,active,2026-09-23
4161,BinDawood Holding Company,TASI,active,2026-09-23
4162,Almunajem Foods Company,TASI,active,2026-09-23
4163,Al Dawaa Medical Services Co.,TASI,active,2026-09-23
4164,Nahdi Medical Company,TASI,active,2026-09-23
4165,Al Majed for Oud Company,TASI,active,2026-09-23
4170,Tourism Enterprise Co.,TASI,active,2026-09-23
4180,Fitaihi Holding Group,TASI,active,2026-09-23
4190,Jarir Marketing Co.,TASI,active,2026-09-23
4191,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,TASI,active,2026-09-23
4192,Al-Saif Stores for Development & Investment Co.,TASI,active,2026-09-23
4193,نايس ون,TASI,active,2026-09-23
4194,Marketing Home Group for Trading Co.,TASI,active,2026-09-23
4200,Aldrees Petroleum & Transport Services Co.,TASI,active,2026-09-23
4210,Saudi Research and Media Group,TASI,active,2026-09-23
4220,"Emaar, The Economic City",TASI,active,2026-09-23
4230,Red Sea International Co.,TASI,active,2026-09-23
4240,AFG International Company,TASI,active,2026-09-23
4250,Jabal Omar Development Co.,TASI,active,2026-09-23
4260,United International Transportation Co. Ltd.,TASI,active,2026-09-23
4261,Theeb Rent a Car Company,TASI,active,2026-09-23
4262,Lumi Rental Company,TASI,active,2026-09-23
4263,SAL Saudi Logistics Services Company,TASI,active,2026-09-23
4264,Flynas Co.,TASI,active,2026-09-23
4265,Cherry Trading Co.,TASI,active,2026-09-23
4270,Saudi Printing & Packaging Co.,TASI,active,2026-09-23
4280,Kingdom Holding Co.,TASI,active,2026-09-23
4290,Al Khaleej Training & Education Co.,TASI,active,2026-09-23
4291,National Co. for Learning & Education,TASI,active,2026-09-23
4292,Ataa Educational Company,TASI,active,2026-09-23
4300,Dar Al Arkan Real Estate Development Co.,TASI,active,2026-09-23
4310,Knowledge Economic City,TASI,active,2026-09-23
4320,Alandalus Property Co.,TASI,active,2026-09-23
4321,Arabian Centres Co.,TASI,active,2026-09-23
4322,Retal Urban Development Company,TASI,active,2026-09-23
4323,Sumou Real Estate Co.,TASI,active,2026-09-23
4324,Banan Real Estate Company,TASI,active,2026-09-23
4325,Umm Al Qura for Development and Construction Company,TASI,active,2026-09-23
4326,Dar Al Majed Real Estate Co.,TASI,active,2026-09-23
4327,Alramz Real Estate Co.,TASI,active,2026-09-23
4328,Ladun Investment Company,TASI,active,2026-09-23
4330,Riyad REIT,TASI,active,2026-09-23
4331,AlJazira REIT Fund,TASI,active,2026-09-23
4332,Jadwa REIT Al-Haramain Fund,TASI,active,2026-09-23
4333,Taleem REIT Fund,TASI,active,2026-09-23
4334,AL Maather REIT Fund,TASI,active,2026-09-23
4335,Musharaka REIT Fund,TASI,active,2026-09-23
4336,Mulkia Gulf Real Estate REIT Fund,TASI,active,2026-09-23
