type,label,n,pearson_r,pearson_p,spearman_r,spearman_p,r_squared,reg_p_value,mean_pct,median_pct,win_rate_pct,max_pct,min_pct,mannwhitney_p,cohens_d
model_variant,V1 (ZScore x CloseStrength x Sign) vs NextDayReturn,179.0,-0.04616832932377112,0.5394201227949214,-0.01714012469056343,0.8198566079164422,0.0021315146325481837,0.5394201227949246,,,,,,,
model_variant,V1 (ZScore x CloseStrength x Sign) vs Return3Days,177.0,-0.02705631838449056,0.7207355140691837,0.0037692821683659584,0.9602882122665377,0.0007320443645229217,0.7207355140691848,,,,,,,
model_variant,V1 (ZScore x CloseStrength x Sign) vs Return5Days,175.0,-0.1056157723211114,0.16421137152398468,0.006071554014075204,0.9364406721743426,0.011154691362984843,0.1642113715239841,,,,,,,
model_variant,V1 (ZScore x CloseStrength x Sign) vs Return7Days,173.0,-0.13634869841570108,0.07365523791906912,-0.017767275798140626,0.8165254499765345,0.018590967559655804,0.07365523791906957,,,,,,,
model_variant,V2 (ZScore x CloseStrength x tanh(Return)) vs NextDayReturn,178.0,-0.07601516121059415,0.31322234761068685,-0.011836226187549542,0.875396252939274,0.005778304733872618,0.3132223476106865,,,,,,,
model_variant,V2 (ZScore x CloseStrength x tanh(Return)) vs Return3Days,176.0,-0.06576768829125815,0.38581641442392395,0.015513660008745727,0.838073964562886,0.004325388823176092,0.38581641442392317,,,,,,,
model_variant,V2 (ZScore x CloseStrength x tanh(Return)) vs Return5Days,174.0,-0.14445763836551873,0.05719992294324399,0.008906233213701733,0.9071478599146875,0.02086800928214299,0.05719992294324375,,,,,,,
model_variant,V2 (ZScore x CloseStrength x tanh(Return)) vs Return7Days,172.0,-0.14612564802074476,0.055783211180307754,-0.010796890603329078,0.8882084946354453,0.021352705009482588,0.0557832111803077,,,,,,,
model_variant,V3 (Additive: tanh(ZScore)+CloseStrength) vs NextDayReturn,179.0,-0.008213784219475046,0.9131034283364884,0.03114389685874465,0.6789779463388688,6.746625120409726e-05,0.9131034283364887,,,,,,,
model_variant,V3 (Additive: tanh(ZScore)+CloseStrength) vs Return3Days,177.0,-0.013534626465147666,0.8580956287509611,-0.004724112241289955,0.9502401014572166,0.0001831861135510762,0.8580956287509607,,,,,,,
model_variant,V3 (Additive: tanh(ZScore)+CloseStrength) vs Return5Days,175.0,-0.0574762562786667,0.4499398409011847,-0.0588183588800635,0.4394115427771162,0.003303520035810975,0.44993984090118455,,,,,,,
model_variant,V3 (Additive: tanh(ZScore)+CloseStrength) vs Return7Days,173.0,-0.027171662677174604,0.7226929363748488,-0.0779068157034783,0.3082860924782414,0.0007382992526421636,0.7226929363748475,,,,,,,
variable_comparison,A) RelativeVolume vs NextDayReturn,160.0,0.05641853002082416,0.4785644015161289,0.036672436654943595,0.6452352196287856,0.0031830505297106414,0.4785644015161264,,,,,,,
variable_comparison,A) RelativeVolume vs Return3Days,158.0,0.10289657569172643,0.19825547788732475,0.010658075965085244,0.8942646034534766,0.010587705289083189,0.19825547788732417,,,,,,,
variable_comparison,A) RelativeVolume vs Return5Days,156.0,0.14132660190050292,0.07843899839427754,-0.06689945546989672,0.4066609548177098,0.01997320840474322,0.0784389983942775,,,,,,,
variable_comparison,A) RelativeVolume vs Return7Days,154.0,0.15685940911623686,0.052045353463719995,-0.10807276179405112,0.18216062625558294,0.02460487422829496,0.052045353463719975,,,,,,,
variable_comparison,B) CloseStrength vs NextDayReturn,179.0,-0.037969177484260715,0.6138284940213287,-0.04790290097241629,0.5242728116019506,0.0014416584388312929,0.6138284940213291,,,,,,,
variable_comparison,B) CloseStrength vs Return3Days,177.0,-0.034135154961939,0.6519516929281955,-0.03706449909563591,0.6242855876037974,0.0011652088042755889,0.6519516929281973,,,,,,,
variable_comparison,B) CloseStrength vs Return5Days,175.0,-0.05377315943010499,0.4797120644392002,-0.08918419276289347,0.24052266843547943,0.002891552675095491,0.4797120644392016,,,,,,,
variable_comparison,B) CloseStrength vs Return7Days,173.0,-0.032702784247754906,0.6692817751477477,-0.13733418476959253,0.07157671037152684,0.0010694720975552045,0.6692817751477484,,,,,,,
variable_comparison,C) DailyReturn vs NextDayReturn,178.0,-0.05378123527799345,0.4758505785824338,-0.048646883824803915,0.5190310547478502,0.002892421268026886,0.4758505785824289,,,,,,,
variable_comparison,C) DailyReturn vs Return3Days,176.0,-0.07369466823552312,0.3310374991393102,-0.08560876338183251,0.2585979629593945,0.005430904126343816,0.3310374991393103,,,,,,,
variable_comparison,C) DailyReturn vs Return5Days,174.0,-0.013651965068021132,0.858100924402305,-0.0655270572054968,0.39031024289783034,0.00018637615021846972,0.8581009244023062,,,,,,,
variable_comparison,C) DailyReturn vs Return7Days,172.0,0.006575298133142771,0.9317793564972437,-0.15510994283356216,0.04218123688030606,4.3234545539710424e-05,0.9317793564972444,,,,,,,
variable_comparison,D) BullishLiquidityScore [V2 (ZScore x CloseStrength x tanh(Return))] vs NextDayReturn,178.0,-0.07601516121059415,0.31322234761068685,-0.011836226187549542,0.875396252939274,0.005778304733872618,0.3132223476106865,,,,,,,
variable_comparison,D) BullishLiquidityScore [V2 (ZScore x CloseStrength x tanh(Return))] vs Return3Days,176.0,-0.06576768829125815,0.38581641442392395,0.015513660008745727,0.838073964562886,0.004325388823176092,0.38581641442392317,,,,,,,
variable_comparison,D) BullishLiquidityScore [V2 (ZScore x CloseStrength x tanh(Return))] vs Return5Days,174.0,-0.14445763836551873,0.05719992294324399,0.008906233213701733,0.9071478599146875,0.02086800928214299,0.05719992294324375,,,,,,,
variable_comparison,D) BullishLiquidityScore [V2 (ZScore x CloseStrength x tanh(Return))] vs Return7Days,172.0,-0.14612564802074476,0.055783211180307754,-0.010796890603329078,0.8882084946354453,0.021352705009482588,0.0557832111803077,,,,,,,
quantile_mean,Q1:NextDayReturn,36.0,,,,,,,-0.4976765154810837,,,,,,
quantile_mean,Q1:Return3Days,36.0,,,,,,,-1.1100443110986367,,,,,,
quantile_mean,Q1:Return5Days,36.0,,,,,,,-1.5014023557264313,,,,,,
quantile_mean,Q1:Return7Days,36.0,,,,,,,-1.3684330708023376,,,,,,
quantile_mean,Q2:NextDayReturn,92.0,,,,,,,0.6292706381185301,,,,,,
quantile_mean,Q2:Return3Days,92.0,,,,,,,1.5308694161476253,,,,,,
quantile_mean,Q2:Return5Days,92.0,,,,,,,2.317740457580563,,,,,,
quantile_mean,Q2:Return7Days,92.0,,,,,,,3.1745297315865617,,,,,,
quantile_mean,Q3:NextDayReturn,15.0,,,,,,,-0.32066618678644265,,,,,,
quantile_mean,Q3:Return3Days,15.0,,,,,,,-0.6346664163153272,,,,,,
quantile_mean,Q3:Return5Days,15.0,,,,,,,0.28301472872448097,,,,,,
quantile_mean,Q3:Return7Days,15.0,,,,,,,-0.5510404937164793,,,,,,
quantile_mean,Q4:NextDayReturn,36.0,,,,,,,-0.34521663257890167,,,,,,
quantile_mean,Q4:Return3Days,36.0,,,,,,,-0.5379089261154257,,,,,,
quantile_mean,Q4:Return5Days,36.0,,,,,,,-1.0482247379085299,,,,,,
quantile_mean,Q4:Return7Days,36.0,,,,,,,-1.2239732476406742,,,,,,
quantile_q5_vs_q1,Q5_vs_Q1:NextDayReturn,36.0,,,,,,,-0.3452166325789017,-0.3985075811701204,30.555555555555557,4.132231404958682,-4.48979591836736,0.623734364891974,0.08043685327373105
quantile_q5_vs_q1,Q5_vs_Q1:Return3Days,36.0,,,,,,,-0.5379089261154256,-1.016971982758626,44.44444444444444,6.9958847736625485,-9.52380952380953,0.573245921589624,0.19283221079204182
quantile_q5_vs_q1,Q5_vs_Q1:Return5Days,36.0,,,,,,,-1.0482247379085299,-1.2146786483069583,38.88888888888889,8.260869565217408,-11.673151750972757,0.6168537805144544,0.11235481622257391
quantile_q5_vs_q1,Q5_vs_Q1:Return7Days,36.0,,,,,,,-1.2239732476406744,-1.2588652482269516,33.33333333333333,7.826086956521746,-12.062256809338525,0.8359877209448718,0.03484677328516338
signal_hypothesis,StrongBullishLiquidity:NextDayReturn,10.0,,,,,,,-0.767766719875459,0.18601190476190932,50.0,4.761904761904765,-9.731543624161075,0.9473278810413559,-0.3633145922777452
signal_hypothesis,StrongBullishLiquidity:Return3Days,10.0,,,,,,,1.0599518301863733,0.18661518661517154,50.0,15.044247787610635,-9.731543624161075,0.8313819033079135,0.1601869933657079
signal_hypothesis,StrongBullishLiquidity:Return5Days,10.0,,,,,,,1.879865167438553,1.5985988376721612,60.0,17.2566371681416,-13.087248322147655,0.6092724163959197,0.2335263964490791
signal_hypothesis,StrongBullishLiquidity:Return7Days,10.0,,,,,,,3.475388617393814,-1.14401719608312,50.0,23.809523809523807,-15.436241610738255,0.89391581663976,0.39063330916831435
signal_hypothesis,ExtremeBullishLiquidity:NextDayReturn,5.0,,,,,,,-2.150394120052248,-1.1904761904761827,40.0,3.0973451327433756,-9.731543624161075,,
signal_hypothesis,ExtremeBullishLiquidity:Return3Days,5.0,,,,,,,0.5502463315561211,-1.5873015873015885,40.0,15.044247787610635,-9.731543624161075,,
signal_hypothesis,ExtremeBullishLiquidity:Return5Days,5.0,,,,,,,-0.25544337592593,-6.122448979591851,40.0,17.2566371681416,-13.087248322147655,,
signal_hypothesis,ExtremeBullishLiquidity:Return7Days,5.0,,,,,,,2.2785841834209486,-5.306122448979606,40.0,21.681415929203553,-15.436241610738255,,
