date,open,high,low,close,volume,prev_close,daily_return,volume_sma20,relative_volume,close_strength,range,range_percent,liquidity,liquidity_strength,money_flow,volume_change,relvol_zscore,sign_daily_return,bls_v1_sign,bls_v2_tanh_return,bls_v3_additive,NextDayReturn,Return3Days,Return5Days,Return7Days,strong_bullish_liquidity,extreme_bullish_liquidity,exceeds_daily_limit
2025-11-23,1.99,2.01,1.99,2.0,284940.0,,,,,0.5000000000000056,0.019999999999999796,,284940.0,,569880.0,,0.0,0.0,0.0,,0.2500000000000028,-0.0050000000000000044,-0.020000000000000018,-0.06000000000000005,-0.09999999999999998,False,False,False
2025-11-24,2.0,2.0,1.97,1.99,560863.0,2.0,-0.0050000000000000044,,,0.6666666666666666,0.030000000000000027,0.015000000000000013,560863.0,,1116117.3699999999,0.9683547413490559,0.0,-1.0,-0.0,-0.0,0.3333333333333333,-0.02010050251256283,-0.015075376884422124,-0.0703517587939698,-0.0753768844221105,False,False,False
2025-11-25,1.98,2.0,1.95,1.95,959833.0,1.99,-0.02010050251256283,,,0.0,0.050000000000000044,0.02512562814070354,959833.0,,1871674.3499999999,0.7113501871223453,0.0,-1.0,-0.0,-0.0,0.0,0.0051282051282051325,-0.03589743589743593,-0.07692307692307689,-0.03589743589743593,False,False,False
2025-11-26,1.94,1.98,1.94,1.96,1529312.0,1.95,0.0051282051282051325,,,0.5,0.040000000000000036,0.02051282051282053,1529312.0,,2997451.52,0.5933105029729131,0.0,1.0,0.0,0.0,0.25,0.0,-0.056122448979591774,-0.06122448979591831,-0.04081632653061228,False,False,False
2025-11-27,1.96,1.98,1.96,1.96,572980.0,1.96,0.0,,,0.0,0.020000000000000018,0.01020408163265307,572980.0,,1123040.8,-0.6253347910694482,0.0,0.0,0.0,0.0,0.0,-0.04081632653061228,-0.08163265306122446,-0.04081632653061228,-0.01020408163265307,False,False,False
2025-11-30,1.97,1.98,1.88,1.88,2254504.0,1.96,-0.04081632653061228,,,0.0,0.10000000000000009,0.051020408163265356,2254504.0,,4238467.52,2.9346992914237844,0.0,-1.0,-0.0,-0.0,0.0,-0.015957446808510536,-0.021276595744680753,0.0,0.04787234042553196,False,False,False
2025-12-01,1.89,1.89,1.85,1.85,1310789.0,1.88,-0.015957446808510536,,,0.0,0.039999999999999813,0.021276595744680753,1310789.0,,2424959.65,-0.41859096280157404,0.0,-1.0,-0.0,-0.0,0.0,-0.02702702702702705,0.01621621621621611,0.04864864864864857,0.11351351351351349,False,False,False
2025-12-02,1.86,1.87,1.78,1.8,1609937.0,1.85,-0.02702702702702705,,,0.2222222222222222,0.09000000000000008,0.04864864864864869,1609937.0,,2897886.6,0.22821979738920595,0.0,-1.0,-0.0,-0.0,0.1111111111111111,0.02222222222222224,0.04444444444444436,0.0944444444444444,0.1222222222222222,False,False,False
2025-12-03,1.81,1.84,1.77,1.84,3395859.0,1.8,0.02222222222222224,,,1.0,0.07000000000000006,0.038888888888888924,3395859.0,,6248380.5600000005,1.1093117308317035,0.0,1.0,0.0,0.0,0.5,0.021739130434782507,0.054347826086956444,0.11956521739130432,0.0978260869565217,False,False,False
2025-12-04,1.84,1.92,1.84,1.88,2262505.0,1.84,0.021739130434782507,,,0.4999999999999986,0.07999999999999985,0.04347826086956513,2262505.0,,4253509.399999999,-0.33374589463225657,0.0,1.0,0.0,0.0,0.2499999999999993,0.0,0.04787234042553196,0.07446808510638304,0.09042553191489358,False,False,False
