date,close,volume,liquidity,daily_return_pct,daily_liquidity_change_pct,sma5,sma10,sma20,liquidity_sma5,liquidity_sma10,liquidity_sma20,rsi14,atr14,roc,momentum,obv,mfi,vwap,interpretation
2026-06-10,2.35,928973.0,2183086.5500000003,,,,,,,,,,,,,928973.0,,2.356666666666667,
2026-06-11,2.35,1244918.0,2925557.3000000003,0.0,34.01013807720999,,,,,,,,,,,928973.0,,2.354757773043819,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-14,2.35,739052.0,1736772.2,0.0,-40.63448355634669,,,,,,,,,,,928973.0,,2.3552420844943875,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-15,2.36,775676.0,1830595.3599999999,0.42553191489360653,5.402156943783409,,,,,,,,,,,1704649.0,,2.35554165845447,سيولة إيجابية مع حركة سعرية إيجابية
2026-06-16,2.34,984849.0,2304546.6599999997,-0.8474576271186418,25.890555081489985,2.35,,,2196111.614,,,,,,,719800.0,,2.3543738539916546,سيولة مرتفعة مع ضغط بيعي محتمل
2026-06-17,2.35,4746151.0,11153454.85,0.42735042735044804,383.9760914192122,2.35,,,3990185.2739999993,,,,,,,5465951.0,,2.360567686796391,سيولة إيجابية مع حركة سعرية إيجابية
2026-06-18,2.35,2057589.0,4835334.15,0.0,-56.647207389735385,2.35,,,4372140.643999999,,,,,,,5465951.0,,2.3604659141259208,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-21,2.34,979899.0,2292963.6599999997,-0.42553191489362874,-52.57900304573575,2.348,,,4483378.936,,,,,,,4486052.0,,2.359642646027953,ضعف سعري مصحوب بانخفاض السيولة
2026-06-22,2.34,2657368.0,6218241.119999999,0.0,171.1879489620869,2.3440000000000003,,,5360908.0879999995,,,,,,,4486052.0,,2.358533367296361,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-23,2.34,1705831.0,3991644.5399999996,0.0,-35.80749824638514,2.3440000000000003,2.347,,5698327.663999999,3947219.639,,,,,,4486052.0,,2.356991856152914,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-24,2.34,1681381.0,3934431.5399999996,0.0,-1.4333190099136472,2.342,2.3459999999999996,,4254523.001999999,4122354.1380000003,,,,-0.42553191489362874,-0.010000000000000231,4486052.0,,2.3557506082193114,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-06-25,2.35,3445253.0,8096344.550000001,0.42735042735044804,105.78181289183144,2.342,2.3459999999999996,,4906725.0819999995,4639432.863000001,,,,0.0,0.0,7931305.0,,2.354847871882519,سيولة إيجابية مع حركة سعرية إيجابية
2026-06-28,2.34,1195799.0,2798169.6599999997,-0.42553191489362874,-65.43909856207887,2.342,2.3449999999999998,,5007766.282,4745572.609,,,,-0.42553191489362874,-0.010000000000000231,6735506.0,,2.35442514417445,ضعف سعري مصحوب بانخفاض السيولة
2026-06-29,2.37,3596324.0,8523287.88,1.2820512820512997,204.60225488971963,2.3480000000000003,2.3459999999999996,,5468775.634000001,5414841.8610000005,,,,0.4237288135593209,0.010000000000000231,10331830.0,,2.355174945609226,سيولة إيجابية مع حركة سعرية إيجابية
2026-06-30,2.41,13691419.0,32996319.790000003,1.6877637130801704,287.131354174089,2.3620000000000005,2.3529999999999998,,11269710.684,8484019.174,,71.4285714285713,0.04428571428571436,2.991452991453003,0.07000000000000028,24023249.0,78.14423312605263,2.370354547013975,سيولة إيجابية مع حركة سعرية إيجابية
2026-07-01,2.39,10839010.0,25905233.900000002,-0.8298755186721962,-21.490535717710713,2.3720000000000008,2.3569999999999998,,15663871.156,9959197.079000002,,61.90476190476183,0.04897959183673478,1.7021276595744705,0.040000000000000036,13184239.0,85.34086500727003,2.378031381963631,ضعف سعري مصحوب بانخفاض السيولة
2026-07-02,2.42,7885550.0,19083031.0,1.2552301255229992,-26.33522988572592,2.3860000000000006,2.3639999999999994,,17861208.446000002,11383966.764000002,,68.65581675708245,0.05119533527696802,2.9787234042553123,0.06999999999999984,21069789.0,87.31588030707533,2.382737241231271,ارتفاع سعري مع ضعف في السيولة
2026-07-05,2.52,14025972.0,35345449.44,4.132231404958686,85.219263334006,2.4220000000000006,2.3819999999999992,,24370664.402000003,14689215.342000002,,80.84280329866513,0.05682423990004172,7.692307692307709,0.18000000000000016,35095761.0,90.04659636055705,2.407128593490109,سيولة إيجابية مع حركة سعرية إيجابية
2026-07-06,2.41,5368339.0,12937696.99,-4.36507936507936,-63.39642812588324,2.4300000000000006,2.3889999999999993,,25253546.224,15361160.929000001,,55.34932591463825,0.06276536562146733,2.991452991453003,0.07000000000000028,29727422.0,84.48424904123138,2.409147329280569,ضعف سعري مصحوب بانخفاض السيولة
2026-07-07,2.31,7202285.0,16637278.35,-4.149377593361003,28.595362550688396,2.4100000000000006,2.3859999999999992,2.3665000000000007,21981737.935999997,16625724.310000002,10286471.9745,42.292374655540094,0.06756783950564822,-1.2820512820512775,-0.029999999999999805,22525137.0,75.56123854752748,2.404459508555782,سيولة مرتفعة مع ضغط بيعي محتمل
2026-07-08,2.28,3954362.0,9015945.36,-1.2987012987013102,-45.80877250274532,2.3880000000000003,2.3799999999999994,2.3630000000000004,18603880.227999996,17133875.692,10628114.915000001,39.29736122730463,0.06774156525524476,-2.564102564102566,-0.06000000000000005,18570775.0,73.86503945869853,2.3986792891222435,ضعف سعري مصحوب بانخفاض السيولة
2026-07-09,2.25,1506689.0,3390050.25,-1.3157894736842035,-62.39939224742594,2.354,2.369999999999999,2.3580000000000005,15465284.077999998,16663246.262,10651339.5625,36.51274189684622,0.06576002487987014,-4.255319148936176,-0.10000000000000009,17064086.0,73.42349734549106,2.3964435885303925,ضعف سعري مصحوب بانخفاض السيولة
2026-07-12,2.45,12835399.0,31446727.55,8.888888888888902,827.618331026214,2.3400000000000007,2.3809999999999993,2.3630000000000004,14685539.699999997,19528102.051000003,12136837.330000002,57.920344840377034,0.07677716595987942,4.700854700854706,0.11000000000000032,29899485.0,76.52392242247974,2.3960599066462422,سيولة إيجابية مع حركة سعرية إيجابية
2026-07-13,2.34,7811478.0,18278858.52,-4.489795918367356,-41.87357495009047,2.3260000000000005,2.3779999999999992,2.3620000000000005,15753772.005999997,20503659.115000002,12959250.488000002,48.278084126740325,0.07915022553417377,-1.2658227848101333,-0.03000000000000025,22088007.0,71.55348420787185,2.3947056204383985,ضعف سعري مصحوب بانخفاض السيولة
2026-07-14,2.33,4190890.0,9764773.700000001,-0.42735042735041473,-46.57886492575138,2.3300000000000005,2.3699999999999988,2.3615000000000004,14379271.075999996,18180504.506000005,13332261.84,47.50385661655522,0.07849663799601851,-3.319502074688796,-0.08000000000000007,17897117.0,68.56411884241473,2.3924893042499833,ضعف سعري مصحوب بانخفاض السيولة
2026-07-15,2.34,3872906.0,9062600.04,0.42918454935620964,-7.19088513029239,2.3420000000000005,2.364999999999999,2.3609999999999998,14388602.011999995,16496241.120000001,13227719.0995,48.39509571747158,0.08003259242487434,-2.092050209205032,-0.050000000000000266,21770023.0,68.70710863627176,2.3916553662552142,ارتفاع سعري مع ضعف في السيولة
2026-07-16,2.35,1908414.0,4484772.9,0.42735042735044804,-50.5133970361115,2.3620000000000005,2.357999999999999,2.3609999999999998,14607546.541999996,15036415.310000002,13210191.037,49.32165652611215,0.07717312153738332,-2.8925619834710647,-0.06999999999999984,23678437.0,68.22008194945346,2.391002862559162,ارتفاع سعري مع ضعف في السيولة
2026-07-19,2.3,2108966.0,4850621.8,-2.1276595744680993,8.157579171957607,2.3320000000000007,2.3359999999999994,2.3589999999999995,9288325.391999995,11986932.546000002,13338073.944000002,44.97359900525349,0.07523218428471311,-8.730158730158733,-0.2200000000000002,21569471.0,65.63429094410678,2.3897379636471756,سيولة مرتفعة مع ضغط بيعي محتمل
2026-07-20,2.34,5505159.0,12882072.059999999,1.7391304347826209,165.57568475035507,2.3320000000000007,2.3289999999999993,2.3589999999999995,8208968.099999996,11981370.053000003,13671265.491,48.8578831895784,0.07485845683580505,-2.904564315352709,-0.07000000000000028,27074630.0,62.41141390113771,2.3874809132040413,سيولة إيجابية مع حركة سعرية إيجابية
2026-07-21,2.32,2231038.0,5176008.159999999,-0.8547008547008517,-59.82006515805812,2.330000000000001,2.329999999999999,2.3579999999999997,7291214.991999994,10835243.034000004,13730483.672,47.06881124411545,0.07379713849039041,0.43290043290042934,0.009999999999999787,24843592.0,55.628440182974025,2.386450520972899,ضعف سعري مصحوب بانخفاض السيولة
2026-07-22,2.33,913666.0,2128841.7800000003,0.4310344827586299,-58.87097326368974,2.3280000000000007,2.3349999999999995,2.3574999999999995,5904463.339999994,10146532.676000003,13640204.183999997,48.09229204187485,0.07209734288393396,2.192982456140369,0.050000000000000266,25757258.0,50.75560689956953,2.386038557583573,ارتفاع سعري مع ضعف في السيولة
2026-07-23,2.33,875126.0,2039043.58,0.0,-4.218171629457601,2.3240000000000007,2.342999999999999,2.3564999999999996,5415317.475999994,10011432.009000003,13337339.135499997,48.09229204187485,0.06980467553508155,3.5555555555555562,0.08000000000000007,25757258.0,39.099835160767356,2.3856711164556037,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-07-26,2.3,1526785.0,3511605.4999999995,-1.2875536480686844,72.21826617359494,2.3240000000000007,2.3279999999999994,2.3544999999999994,5147514.215999994,7217919.804000003,13373010.927499998,45.06079255670791,0.0683900558540043,-6.122448979591855,-0.15000000000000036,24230473.0,41.95756292383891,2.3848906660869997,سيولة مرتفعة مع ضغط بيعي محتمل
2026-07-27,2.32,1032169.0,2394632.0799999996,0.8695652173912993,-31.808055318286755,2.320000000000001,2.3259999999999996,2.3519999999999994,3050026.2199999946,5629497.160000004,13066578.1375,47.43946805609482,0.06636219472157542,-0.8547008547008517,-0.020000000000000018,25262642.0,49.286329733455474,2.38442356285062,ارتفاع سعري مع ضعف في السيولة
