date,open,high,low,close,volume,prev_close,daily_return,close_strength,volume_sma20,relative_volume20,close_sma20,close_sma50,trend20,trend50,price_position20,breakout20,previous_return5,previous_return10,NextDayReturn,Return3Days,Return5Days,Return7Days,Return10Days,case_a_uptrend,case_b_breakout,case_c_extended,case_d_weak_close,normal_day,trend_strength,z_relative_volume20,z_close_strength,z_trend_strength,breakout_factor,model_a,model_b,model_c,model_d_contextual_score,split
2025-11-23,1.99,2.01,1.99,2.0,284940.0,,,0.5000000000000056,,,,,,,,,,,-0.0050000000000000044,-0.020000000000000018,-0.06000000000000005,-0.09999999999999998,-0.06000000000000005,False,False,False,False,True,,,0.3100643284887501,,1.0,,,,,Training
2025-11-24,2.0,2.0,1.97,1.99,560863.0,2.0,-0.0050000000000000044,0.6666666666666666,,,,,,,,,,,-0.02010050251256283,-0.015075376884422124,-0.0703517587939698,-0.0753768844221105,-0.02512562814070354,False,False,False,False,True,,,0.8670796836762393,,1.0,,,,,Training
2025-11-25,1.98,2.0,1.95,1.95,959833.0,1.99,-0.02010050251256283,0.0,,,,,,,,,,,0.0051282051282051325,-0.03589743589743593,-0.07692307692307689,-0.03589743589743593,0.010256410256410265,False,False,False,False,True,,,-1.3609817370737924,,1.0,,,,,Training
2025-11-26,1.94,1.98,1.94,1.96,1529312.0,1.95,0.0051282051282051325,0.5,,,,,,,,,,,0.0,-0.056122448979591774,-0.06122448979591831,-0.04081632653061228,0.051020408163265356,False,False,False,False,True,,,0.3100643284887315,,1.0,,,,,Training
2025-11-27,1.96,1.98,1.96,1.96,572980.0,1.96,0.0,0.0,,,,,,,,,,,-0.04081632653061228,-0.08163265306122446,-0.04081632653061228,-0.01020408163265307,0.03061224489795921,False,False,False,False,True,,,-1.3609817370737924,,1.0,,,,,Training
2025-11-30,1.97,1.98,1.88,1.88,2254504.0,1.96,-0.04081632653061228,0.0,,,,,,,,,-0.06000000000000005,,-0.015957446808510536,-0.021276595744680753,0.0,0.04787234042553196,0.07446808510638304,False,False,False,False,True,,,-1.3609817370737924,,1.0,,,,,Training
2025-12-01,1.89,1.89,1.85,1.85,1310789.0,1.88,-0.015957446808510536,0.0,,,,,,,,,-0.0703517587939698,,-0.02702702702702705,0.01621621621621611,0.04864864864864857,0.11351351351351349,0.10810810810810796,False,False,False,False,True,,,-1.3609817370737924,,1.0,,,,,Training
2025-12-02,1.86,1.87,1.78,1.8,1609937.0,1.85,-0.02702702702702705,0.2222222222222222,,,,,,,,,-0.07692307692307689,,0.02222222222222224,0.04444444444444436,0.0944444444444444,0.1222222222222222,0.1222222222222222,False,False,False,False,True,,,-0.6182945968237819,,1.0,,,,,Training
2025-12-03,1.81,1.84,1.77,1.84,3395859.0,1.8,0.02222222222222224,1.0,,,,,,,,,-0.06122448979591831,,0.021739130434782507,0.054347826086956444,0.11956521739130432,0.0978260869565217,0.10326086956521724,False,False,False,False,True,,,1.9811103940512556,,1.0,,,,,Training
2025-12-04,1.84,1.92,1.84,1.88,2262505.0,1.84,0.021739130434782507,0.4999999999999986,,,,,,,,,-0.04081632653061228,,0.0,0.04787234042553196,0.07446808510638304,0.09042553191489358,0.06914893617021271,False,False,False,False,True,,,0.3100643284887269,,1.0,,,,,Training
2025-12-07,1.89,1.93,1.88,1.88,1163659.0,1.88,0.0,0.0,,,,,,,,,0.0,-0.06000000000000005,0.03191489361702131,0.09574468085106393,0.07446808510638304,0.07446808510638304,0.07978723404255315,False,False,False,False,True,,,-1.3609817370737924,,1.0,,,,,Training
2025-12-08,1.88,2.0,1.87,1.94,3740201.0,1.88,0.03191489361702131,0.5384615384615377,,,,,,,,,0.04864864864864857,-0.02512562814070354,0.01546391752577321,0.041237113402061897,0.05670103092783499,0.04639175257731951,0.025773195876288683,False,False,False,False,True,,,0.4386063335319999,,1.0,,,,,Training
2025-12-09,1.93,1.97,1.91,1.97,1444571.0,1.94,0.01546391752577321,1.0,,,,,,,,,0.0944444444444444,0.010256410256410265,0.0456852791878173,0.0253807106598985,0.0253807106598985,0.020304568527918686,0.0101522842639594,False,False,False,False,True,,,1.9811103940512556,,1.0,,,,,Training
