date,open,high,low,close,volume,relative_volume,volume_zscore,high_liquidity_L1,high_liquidity_L2,high_liquidity_L3,session_number,day_in_cycle,cycle_number
2025-12-21,8.6,8.69,8.23,8.28,706707.0,,0.0,False,False,False,1,1,1
2025-12-22,8.35,8.35,7.92,8.0,837695.0,,0.0,False,False,False,2,2,1
2025-12-23,8.0,8.1,7.9,8.1,518242.0,,0.0,False,False,False,3,3,1
2025-12-24,8.1,8.19,8.02,8.08,158436.0,,0.0,False,False,False,4,4,1
2025-12-25,8.01,8.1,7.88,7.97,284606.0,,0.0,False,False,False,5,5,1
2025-12-28,7.95,8.0,7.89,7.95,108095.0,,0.0,False,False,False,6,6,1
2025-12-29,7.92,8.06,7.9,7.97,170212.0,,0.0,False,False,False,7,7,1
2025-12-30,7.93,7.99,7.86,7.94,239764.0,,0.0,False,False,False,8,8,1
2025-12-31,7.99,8.02,7.94,8.0,160875.0,,0.0,False,False,False,9,9,1
2026-01-01,8.0,8.2,7.95,7.96,123865.0,,0.0,False,False,False,10,10,1
2026-01-04,8.1,8.1,7.84,7.93,326539.0,,0.0,False,False,False,11,11,1
2026-01-05,8.0,8.0,7.82,7.85,331284.0,,0.0,False,False,False,12,12,1
2026-01-06,7.85,7.92,7.72,7.78,378528.0,,0.0,False,False,False,13,13,1
2026-01-07,7.95,7.96,7.78,7.8,201294.0,,0.0,False,False,False,14,14,1
2026-01-08,7.85,7.95,7.81,7.93,161341.0,,0.0,False,False,False,15,15,1
2026-01-11,7.95,7.95,7.87,7.93,345161.0,,0.0,False,False,False,16,1,2
2026-01-12,7.9,8.07,7.9,8.04,332819.0,,0.0,False,False,False,17,2,2
2026-01-13,8.06,8.12,8.0,8.02,390385.0,,0.0,False,False,False,18,3,2
2026-01-14,8.1,8.23,7.92,8.11,770922.0,,0.0,False,False,False,19,4,2
2026-01-15,8.04,8.1,7.98,8.0,249408.0,0.7339654729467062,-0.4222578571303139,False,False,False,20,5,2
2026-01-18,8.0,8.14,8.0,8.06,248569.0,0.7843718247281494,-0.3476478727324633,False,False,False,21,6,2
2026-01-19,8.06,8.26,7.9,7.94,1367451.0,3.9822120517266386,3.5825493288868957,True,True,True,22,7,2
2026-01-20,8.0,8.0,7.89,7.93,412131.0,1.2190186321900531,0.2612752197055276,False,False,False,23,8,2
2026-01-21,7.97,7.99,7.8,7.96,429100.0,1.2203603660739817,0.2759097161689719,False,False,False,24,9,2
2026-01-22,8.0,8.07,7.98,7.99,992334.0,2.5641450336992775,1.924693458394191,True,True,True,25,10,2
2026-01-25,7.98,8.06,7.98,8.03,663990.0,1.6007527508530648,0.7958284834120731,True,True,False,26,11,2
2026-01-26,8.04,8.07,7.98,8.0,553202.0,1.2748114348236574,0.38585816723062283,True,False,False,27,12,2
2026-01-27,8.0,8.1,7.94,8.03,2818006.0,5.006582451557243,3.6817285636307715,True,True,True,28,13,2
2026-01-28,8.1,8.14,7.99,8.1,954047.0,1.5834310896191122,0.5755192567839006,True,True,False,29,14,2
