date,open,high,low,close,volume
2025-12-21,1.69,1.71,1.69,1.7,17030480.0
2025-12-22,1.7,1.71,1.64,1.67,32834889.0
2025-12-23,1.67,1.71,1.67,1.69,25663230.0
2025-12-24,1.69,1.7,1.67,1.68,10709467.0
2025-12-25,1.68,1.68,1.65,1.65,10171990.0
2025-12-28,1.65,1.65,1.62,1.64,17360103.0
2025-12-29,1.64,1.68,1.63,1.67,13758161.0
2025-12-30,1.67,1.68,1.63,1.63,20980214.0
2025-12-31,1.65,1.68,1.64,1.68,16852355.0
2026-01-01,1.68,1.74,1.68,1.73,10235018.0
2026-01-04,1.75,1.75,1.68,1.69,18342280.0
2026-01-05,1.7,1.71,1.66,1.67,18754420.0
2026-01-06,1.67,1.69,1.63,1.66,19187569.0
2026-01-07,1.69,1.73,1.68,1.69,29883136.0
2026-01-08,1.69,1.69,1.64,1.65,27955391.0
2026-01-11,1.65,1.68,1.64,1.67,25753646.0
2026-01-12,1.67,1.7,1.67,1.69,19885955.0
2026-01-13,1.68,1.69,1.66,1.66,29127995.0
2026-01-14,1.66,1.7,1.66,1.68,38666236.0
2026-01-15,1.67,1.68,1.65,1.66,18128511.0
2026-01-18,1.67,1.7,1.67,1.69,15931975.0
2026-01-19,1.69,1.7,1.67,1.68,17458186.0
2026-01-20,1.68,1.69,1.65,1.67,15116322.0
2026-01-21,1.66,1.68,1.64,1.64,37277728.0
2026-01-22,1.64,1.67,1.64,1.65,16895231.0
2026-01-25,1.66,1.68,1.65,1.67,16032228.0
2026-01-26,1.67,1.68,1.65,1.68,25629582.0
2026-01-27,1.67,1.69,1.66,1.67,34608720.0
2026-01-28,1.68,1.69,1.66,1.68,18945759.0
2026-01-29,1.67,1.68,1.65,1.65,26823412.0
2026-02-01,1.66,1.67,1.63,1.65,19680706.0
2026-02-02,1.66,1.67,1.64,1.66,15826202.0
2026-02-03,1.66,1.67,1.65,1.65,11801709.0
2026-02-04,1.66,1.67,1.65,1.67,8492129.0
2026-02-05,1.66,1.66,1.63,1.64,18549623.0
2026-02-08,1.65,1.66,1.63,1.63,13706852.0
2026-02-09,1.79,1.79,1.79,1.79,44932399.0
2026-02-10,1.96,1.96,1.93,1.96,115317875.0
2026-02-11,1.98,2.03,1.92,1.97,160769538.0
2026-02-12,1.97,2.07,1.97,2.04,90835972.0
2026-02-15,2.05,2.07,2.0,2.03,37774357.0
2026-02-16,2.04,2.06,2.02,2.04,32392099.0
2026-02-17,2.02,2.06,2.02,2.04,50334335.0
2026-02-18,2.04,2.09,2.04,2.08,50712143.0
2026-02-19,2.07,2.09,2.05,2.07,52690016.0
2026-02-23,2.06,2.12,2.05,2.12,57020443.0
2026-02-24,2.11,2.12,2.05,2.08,36641620.0
2026-02-25,2.06,2.1,2.05,2.06,17489195.0
2026-02-26,2.05,2.06,2.01,2.05,27663073.0
2026-03-01,1.92,2.02,1.92,1.96,41774221.0
2026-03-02,1.95,1.99,1.93,1.95,35478941.0
2026-03-03,1.95,1.98,1.93,1.96,32880144.0
2026-03-04,1.92,2.02,1.89,2.01,60899319.0
2026-03-05,2.01,2.04,1.99,2.01,27781102.0
2026-03-08,2.01,2.03,1.98,1.99,36438717.0
2026-03-09,1.98,1.99,1.91,1.95,39351370.0
2026-03-10,1.95,1.96,1.92,1.92,31807678.0
2026-03-11,1.93,1.94,1.9,1.9,23074412.0
2026-03-12,1.89,1.9,1.84,1.85,44514136.0
2026-03-15,1.83,1.84,1.77,1.78,27621129.0
2026-03-16,1.76,1.81,1.76,1.8,40869029.0
2026-03-24,1.81,1.93,1.81,1.9,53348791.0
2026-03-25,1.92,1.98,1.92,1.97,44549293.0
2026-03-26,1.96,1.97,1.94,1.96,26594435.0
2026-03-29,1.95,1.96,1.92,1.94,20825265.0
2026-03-30,1.93,1.95,1.91,1.93,28181417.0
2026-03-31,1.93,1.94,1.89,1.9,51365069.0
2026-04-01,1.91,1.91,1.87,1.9,24271143.0
2026-04-02,1.9,1.91,1.88,1.9,26136008.0
2026-04-05,1.9,1.91,1.86,1.86,27326982.0
2026-04-06,1.86,1.87,1.84,1.86,32096231.0
2026-04-07,1.86,1.86,1.83,1.85,24912585.0
2026-04-08,1.88,1.91,1.88,1.89,48127956.0
2026-04-09,1.89,1.9,1.87,1.89,15472218.0
2026-04-12,1.88,1.89,1.86,1.87,19468450.0
2026-04-13,1.87,1.88,1.86,1.88,13476615.0
2026-04-14,1.88,1.89,1.87,1.88,18130862.0
2026-04-15,1.88,1.92,1.88,1.92,39928982.0
2026-04-16,1.93,1.94,1.91,1.92,33022721.0
2026-04-19,1.92,1.93,1.9,1.9,14281012.0
2026-04-20,1.9,1.91,1.88,1.88,25105186.0
2026-04-21,1.89,1.9,1.88,1.89,15816435.0
2026-04-22,1.89,1.9,1.87,1.87,11848869.0
2026-04-23,1.88,1.89,1.86,1.87,12769690.0
2026-04-26,1.87,1.88,1.86,1.88,15278600.0
2026-04-27,1.88,1.89,1.87,1.88,75789547.0
2026-04-28,1.88,1.89,1.86,1.87,33181159.0
2026-04-29,2.05,2.05,2.05,2.05,52978575.0
2026-04-30,2.04,2.06,2.0,2.04,158569102.0
2026-05-03,2.04,2.05,2.03,2.03,20025235.0
2026-05-04,2.04,2.05,2.0,2.01,41612160.0
2026-05-05,2.0,2.0,1.94,1.96,43600494.0
2026-05-06,1.97,2.0,1.97,1.99,29142688.0
2026-05-07,1.99,2.0,1.96,1.98,31915176.0
2026-05-10,1.9,1.92,1.88,1.9,17649847.0
2026-05-11,1.9,1.9,1.87,1.87,33705806.0
2026-05-12,1.87,1.88,1.84,1.85,25663127.0
2026-05-13,1.85,1.89,1.84,1.86,48854028.0
2026-05-14,1.87,1.89,1.86,1.88,21061602.0
2026-05-17,1.87,1.88,1.86,1.87,7279826.0
2026-05-18,1.86,1.87,1.85,1.87,16281119.0
2026-05-19,1.87,1.9,1.86,1.9,36952518.0
2026-05-20,1.91,1.93,1.89,1.93,25295972.0
2026-05-21,1.93,1.94,1.91,1.92,19340955.0
2026-05-31,1.96,1.99,1.92,1.94,35017483.0
2026-06-01,1.95,1.99,1.94,1.98,68706982.0
2026-06-02,1.98,1.98,1.95,1.96,25890528.0
2026-06-03,1.96,1.98,1.95,1.96,30887539.0
